Image,Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Correct Answer
https://img.crackap.com/ap/eco/cr2017/00222.jpg,Normal goods always have a/an,elastic demand curve,inelastic demand curve,elastic supply curve,negative income elasticity,positive income elasticity,
https://img.crackap.com/ap/eco/cr2017/00222.jpg,"When the cross-price elasticity of demand is negative, the goods in question are necessarily",normal,inferior,complements,substitutes,luxuries,
https://img.crackap.com/ap/eco/cr2017/00222.jpg,"If a business wants to increase its revenue and it knows that the demand price elasticity of its product is equal to 0.78, it should",decrease price because demand is elastic,decrease price because demand is unit elastic,decrease price because demand is inelastic,increase price because demand is inelastic,increase price because demand is elastic,
https://img.crackap.com/ap/eco/cr2017/00020.jpg,The long-run average cost curve,is always below the short-run average cost curve,is always above the short-run average cost curve,always intersects the short-run average cost curve at the minimum of short-run average cost,is above the short-run average cost except at one point,is below the short-run average cost except at one point,
https://img.crackap.com/ap/eco/cr2017/00020.jpg,"A monopoly with a straight, downward-sloping demand curve has a marginal revenue curve that is",upward sloping,halfway between the demand curve and the vertical axis,initially downward sloping and then upward sloping,parallel to the demand curve,parallel to the vertical axis,
https://img.crackap.com/ap/eco/cr2017/00020.jpg,Marginal cost always intersects average variable cost at,the profit-maximizing quantity,the minimum of marginal cost,the maximum of average variable cost,the minimum of average variable cost,the maximum of marginal cost,
https://img.crackap.com/ap/eco/cr2017/00020.jpg,"In an oligopoly market, firms",cannot earn economic profits,are interdependent,are not subject to antitrust legislation,are large in number,have no market power,
https://img.crackap.com/ap/eco/cr2017/00020.jpg,"Relative to a competitive product market with the same costs, a monopoly can be expected to involve",more deadweight loss,lower prices,higher production levels,more firms,higher-quality products,
https://img.crackap.com/ap/eco/cr2017/00020.jpg,"Consider a profit-maximizing firm in a perfectly competitive market with several sellers and several buyers (i.e., the firm is a ""price taker"" of the goods it sells and a ""price taker"" of the hourly wages it pays its workers). If a technological innovation made by someone in this firm were to significantly raise the firm's marginal physical product (but not that of any other firm's), then this innovation would","reduce the firm’s employment level, because fewer workers are now needed",raise the workers’ hourly wage as they now contribute more marginal revenue,lead the firm to hire more workers but not to raise their wages,lead the firm to hire more workers and to pay them higher wages,None of the above,
https://img.crackap.com/ap/eco/cr2017/00161.jpg,A competitive firm's demand for labor is determined directly by,profits,the opportunity cost of workers’ time,the wage and the average (physical) product of labor,the marginal (physical) product of labor and the output price,marginal utility and marginal cost,
https://img.crackap.com/ap/eco/cr2017/00161.jpg,"Relative to a competitive input market, a monopsony",pays less and hires more,pays less and hires the same amount,pays more and hires more,pays more and hires fewer,pays less and hires fewer,
https://img.crackap.com/ap/eco/cr2017/00161.jpg,Which of the following is not among the methods unions use to increase wages?,Negotiations to obtain a wage floor,Restrictive membership policies,Efforts to decrease the prices of substitute resources,Featherbedding or make-work rules,Efforts to increase the demand for the product they produce,
https://img.crackap.com/ap/eco/cr2017/00161.jpg,A bilateral monopoly exists when,a monopsony buys from a monopoly,a monopoly sells to two different types of consumers,a monopoly buys from a monopsony,a monopolist sells two different types of goods,a monopoly sells at two different prices,
https://img.crackap.com/ap/eco/cr2017/00161.jpg,"Because people with relatively low incomes spend a larger percentage of their income on food than people with relatively high incomes, a sales tax on food would fall into which category of taxes?",Progressive,Proportional,Regressive,Neutral,Flat,
https://img.crackap.com/ap/eco/cr2017/00161.jpg,"Assume a firm hires labor for $15 each and sells its products for $3 each. If the MP of the 3rd worker is 10, which of the following statements would be the most true?",The firm should hire more labor so that the MRPL will increase.,The firm should hire more labor so that the MRPL will decrease.,The firm should hire less labor so that the MRPL will increase.,The firm should hire less labor so that the MRPL will decrease.,The firm should do nothing because it is currently maximizing profit.,
https://img.crackap.com/ap/eco/cr2017/00161.jpg,"If the government regulates a monopoly to produce at the allocative efficient quantity, which of the following would be true?",The monopoly would break even.,The monopoly would incur an economic loss.,The monopoly would make an economic profit.,The deadweight loss in this market would increase.,The deadweight loss in this market would decrease.,
https://img.crackap.com/ap/eco/cr2017/00161.jpg,Marginal revenue equals marginal cost at the point where,total revenue is greater than total cost at its greatest distance,total revenue is equal to total cost,marginal product is at its highest point,total product is at its highest point,average total cost is at its minimum,
https://img.crackap.com/ap/eco/cr2017/00161.jpg,"If the government subsidizes producers in a perfectly competitive market, then",the demand for the product will increase,the demand for the product will decrease,the consumer surplus will increase,the consumer surplus will decrease,the supply will decrease,
https://img.crackap.com/ap/eco/cr2017/00161.jpg,A price discriminating monopoly differs from a non-discriminating monopoly because a discriminating monopoly,has a demand curve that is more elastic than a non-discriminating monopoly,earns less revenue than a non-discriminating monopoly,earns more revenue than a non-discriminating monopoly,will produce less than a non-discriminating monopoly,has a marginal revenue curve that is less than a non-discriminating monopoly,
https://img.crackap.com/ap/eco/cr2017/00161.jpg,Which of the following could have caused an increase in the demand for ice cream cones?,A decrease in the price of ice cream cones,"A decrease in the price of ice cream, a complimentary good to ice cream cones","An increase in the price of ice cream, a complimentary good to ice cream cones","A decrease in the price of lollipops, a close substitute for ice cream",An increase in the supply of ice cream cones,
https://img.crackap.com/ap/eco/cr2017/00161.jpg,"A student eats 3 slices of pizza while studying for his Economics exam. The marginal utility of the first slice of pizza is 10 utils, the second slice is 7 utils, and the third slice is 3 utils. Which of the statements below holds true with the above data?",The student would not eat any more pizza.,The marginal utility of the 4th slice of pizza will be 0.,The student should have stopped eating pizza after 2 slices.,The total utility this student received from eating pizza is 20 utils.,The total utility decreases after the 1st slice of pizza because of diminishing marginal utility.,
https://img.crackap.com/ap/eco/cr2017/00161.jpg,"If corn is produced in a perfectly competitive market and the government placed a price ceiling above equilibrium, which of the following would be true?",There would be no change in the amount of corn demanded or supplied.,There would be a shortage created of corn.,There would be a surplus created of corn.,The producers of corn would lose revenue due to the decreased price.,Illegal markets may develop for corn.,
https://img.crackap.com/ap/eco/cr2017/00161.jpg,Which of the following examples would result in consumers paying for the largest burden of an excise tax placed on a producer?,If the demand curve is price elastic and the supply curve is price inelastic,If the demand curve is price elastic and the supply curve is perfectly elastic,If the demand curve is price inelastic and the supply curve is price elastic,If the demand curve is price inelastic and the supply curve is price inelastic,If the demand curve is perfectly inelastic and the supply curve is price elastic,
https://img.crackap.com/ap/eco/cr2017/00161.jpg,A monopoly is less efficient than a perfect competitor because,a monopoly produces more output and sells for a higher price,a monopoly produces less output and sells for a higher price,a monopoly can make profit in the short run but not in the long run,a perfect competitor breaks even in the short run and the monopoly does not,a monopoly is allocatively efficient whereas the perfect competitor is productively efficient,
https://img.crackap.com/ap/eco/cr2017/00067.jpg,Which of the following constitute the fundamental questions every economic system must answer?,"I, III, and V only","I, II, and IV only","I, II, and V only","II, IV, and V only","II, III, and IV only",
https://img.crackap.com/ap/eco/cr2017/00067.jpg,"Labor, human capital, entrepreneurship, natural resources, and physical capital are all examples of which of the following?",Public goods,Inferior goods,Factors of production,Outputs,Substitutes in production,
https://img.crackap.com/ap/eco/cr2017/00067.jpg,The law of diminishing marginal utility is most useful for explaining the,law of supply,law of demand,curvature of the total cost curve,shape of the production possibilities frontier,diminishing marginal product of capital,
https://img.crackap.com/ap/eco/cr2017/00067.jpg,Number of Workers Total Gyros per Hour,The firm faces decreasing returns to scale.,Diminishing marginal returns begin when the second worker is hired.,The firm faces increasing returns to scale.,The firm should not hire five workers.,Diminishing marginal returns begin when the fourth worker is hired.,
https://img.crackap.com/ap/eco/cr2017/00067.jpg,The owner of a competitive firm making zero economic profit,should consider shutting down because she could make more elsewhere,is making less than normal profits,is making exactly what she would make in her next best alternative job,will most likely make more profits in the long run,is making serious resource allocation errors,
https://img.crackap.com/ap/eco/cr2017/00067.jpg,Which of the following is more likely to result from a competitive market structure than from a monopoly making the same product?,Price equal to marginal cost,Relative welfare loss,Relatively high price,Relatively low quantity,Relatively inferior quality,
https://img.crackap.com/ap/eco/cr2017/00067.jpg,Which of the following is likely to have the most elastic demand?,A good with a vertical demand curve,Cigarettes,All types of soda pop,Sprite,Life-sustaining pills,
https://img.crackap.com/ap/eco/cr2017/00067.jpg,What are the effects on the supply and demand curves for Frisbees if a new procedure reduces the cost of making Frisbees?,Shifts right Shifts right,No change Shifts left,No change Shifts right,Shifts left Shifts right,Shifts right Shifts left,
https://img.crackap.com/ap/eco/cr2017/00067.jpg,Which of the following statements is true for a firm in a perfectly competitive industry?,Total revenue increases and then decreases.,Marginal revenue is decreasing.,Average revenue is initially negative and then becomes positive.,Marginal revenue is increasing.,Average revenue equals marginal revenue.,
https://img.crackap.com/ap/eco/cr2017/00067.jpg,Which of the following will shift the supply curve for textbooks to the left?,A decrease in the demand for a substitute in production,A decrease in the number of buyers,An increase in printing costs,Expectations of future surpluses,A decrease in taxes on textbook suppliers,
https://img.crackap.com/ap/eco/cr2017/00067.jpg,"In the absence of intervention, imperfect competition, externalities, public goods, and imperfect information all result in which of the following?",Demand curves that should be added vertically,Market failure,Prices that are too low,Quantities of output that are too high,An excess of pollution,
https://img.crackap.com/ap/eco/cr2017/00107.jpg,"Firms with the following market structure(s) maximize profits by producing where marginal cost equals marginal revenue, if at all.",I only,I and II only,I and III only,"I, III, and IV only","I, II, III, and IV",
https://img.crackap.com/ap/eco/cr2017/00107.jpg,Which of the following was not a landmark antitrust act?,The Wagner Act,The Sherman Act,The Clayton Act,The Robinson-Patman Act,The Celler-Kefauver Act,
https://img.crackap.com/ap/eco/cr2017/00107.jpg,In the same period there is a drought affecting the supply of pineapples and a discovery that may assist in the avoidance of cancer. How will this combination of events affect the equilibrium price and quantity of pineapples?Equilibrium Quantity,Increases Decreases,Increases Indeterminate,Indeterminate Increases,Decreases Indeterminate,Increases Increases,
https://img.crackap.com/ap/eco/cr2017/00107.jpg,Which of the following statements accurately describes the relationship between average product (AP) and marginal product (MP) of labor?,AP rises when MP is above it and falls when MP is below it.,MP intersects AP at the maximum of MP.,AP and MP are always parallel to each other.,AP and MP are either both rising or both falling at all levels of labor.,AP is always rising when MP is falling and vice versa.,
https://img.crackap.com/ap/eco/cr2017/00107.jpg,Which of the following goods is likely to provide both the largest total utility and the smallest marginal utility?,Plastic,Automobiles,Computers,Spam,Air,
https://img.crackap.com/ap/eco/cr2017/00107.jpg,"In order to find the market supply curve for a particular good, one would",aggregate the firm marginal revenue curves horizontally,aggregate the firm supply curves vertically,aggregate the firm marginal cost curves vertically,aggregate the firm marginal revenue curves vertically,aggregate the firm supply curves horizontally,
https://img.crackap.com/ap/eco/cr2017/00107.jpg,A loud party in the neighborhood is disturbing people living nearby who would like to sleep. Which of the following is most likely to lead to an efficient solution to the problem?,Ban parties,Permit people to throw parties as they please,Place a tax on parties equal to the value of the lost sleep that results,Permit parties only on Tuesdays and Saturdays,Place a tax on parties equal to the value party-goers receive from their parties,
https://img.crackap.com/ap/eco/cr2017/00107.jpg,"Unlike a perfectly competitive firm, a monopoly",will charge the highest price it can on the demand curve,has a horizontal marginal revenue curve,has an upward sloping total revenue curve,faces a downward sloping demand curve,faces a horizontal demand curve,
,"Every time Mr. Hamm makes another pizza in his shop, he places $0.45 worth of sauce on top. For Mr. Hamm, the cost of pizza sauce is a component of which of the following?",I and IV only,II and III only,II and IV only,III and IV only,"II, III, and IV only",
,"If the government wants to establish a socially optimal price for a natural monopoly, it should select the price at which",average revenue equals zero,marginal revenue equals zero,the marginal cost curve intersects the demand curve,the average total cost curve intersects the demand curve,marginal revenue equals marginal cost,
,Which of the following will increase wages for tuba makers?,An increase in the number of graduates at tuba maker training school,An increase in the price of tubas,An increase in the price of tuba lessons,An increase in the tax on tubas,An effective price ceiling for tubas,
,"After Julia received a raise in her income, she began purchasing more ice cream cones and fewer popsicles. For Julia, popsicles",disobey the law of demand,are a joint product,are a complementary good with ice cream,are a normal good,are an inferior good,
,"When the opportunity for price discrimination arises,",market segments with relatively elastic demand pay higher prices,market segments with relatively inelastic demand pay lower prices,consumer surplus decreases,demand is horizontal,demand is vertical,
,"When a perfectly competitive labor market is in equilibrium,",everyone who wants to work has the opportunity to do so,individual firms face downward sloping labor demand curves,unemployment can reach as high as 10-15 percent,individual firms face upward sloping labor demand curves,"individual firms are considered ""price makers""",
,A production possibility frontier will be a straight line when,efficiency is achieved,the goods on the axes are perfect substitutes in consumption,utility is maximized,resources are not specialized,the marginal product functions for all inputs are straight lines,
,An industry with three firms selling a standardized or differentiated product would be called,a competitive industry,a monopolistically competitive industry,an oligopoly,a duopoly,a monopoly,
,Which of the following are associated with public goods?,I and II only,I and IV only,II and III only,"I, III, and IV only","I, II, III, and IV",
,Which of the following statements about a price ceiling is accurate?,An effective price ceiling must be at a price below the equilibrium price.,A price ceiling will increase the quantity of the good supplied.,A price ceiling will cause a shift in the demand curve for the good.,A price ceiling will have no effect on the quantity of the good supplied.,Surpluses in the supply of the good are among the results of a price ceiling.,
https://img.crackap.com/ap/eco/cr2017/00190.jpg,"If a decrease in income of 10 percent would cause Alec's consumption of vitamins to increase by 15 percent, which of the following statements is the most likely to be correct?",Alec’s income elasticity of demand is 1.5.,Vitamins would be categorized as an inferior good for Alec.,Alec’s income elasticity of demand is 2/3.,Vitamins would be categorized as a necessity for Alec.,Alec’s income elasticity of demand is 150.,
https://img.crackap.com/ap/eco/cr2017/00190.jpg,"In the long run, a monopolistically competitive firm",earns zero economic profit,earns positive economic profit,earns negative economic profit,faces a vertical demand curve,faces a horizontal demand curve,
https://img.crackap.com/ap/eco/cr2017/00190.jpg,Which of the following is most likely to result in a shift to the right in the demand curve for orange juice?,A bumper crop of oranges in Florida,A decrease in the price of Tang,Expectations of lower future prices for orange juice,A law permitting orange pickers to be paid less than the minimum wage,Expectations of higher future income among juice drinkers,
https://img.crackap.com/ap/eco/cr2017/00190.jpg,The market demand curve for labor would shift to the left as the result of,an increase in the price of the good which the labor is producing,an increase in demand for the good which the labor is producing,an increase in the wage rate paid to workers,a decrease in the marginal product of labor,a decrease in the number of workers willing to work,
https://img.crackap.com/ap/eco/cr2017/00190.jpg,"The industry that makes plastic army figures uses a small fraction of the plastic demanded for all purposes. On this basis, we can conclude that the army-figures industry is most likely a(n)",increasing-cost industry,constant-cost industry,decreasing-cost industry,profit-making industry,loss-making industry,
https://img.crackap.com/ap/eco/cr2017/00190.jpg,The concentration ratio for a monopoly is,0,5,10,100,"1,000",
https://img.crackap.com/ap/eco/cr2017/00190.jpg,"At a Nash equilibrium,",the supply curve intersects the demand curve,neither party has an incentive to deviate from his or her strategy,the marginal revenue curve intersects the marginal cost curve,the equilibrium is unstable and each party would like to switch strategies,no additional output could possibly be produced,
https://img.crackap.com/ap/eco/cr2017/00190.jpg,The condition that P = MC is the direct requirement for which type of efficiency?,Distributive efficiency,Technical efficiency,Efficiency in production,Efficiency in exchange,Allocative efficiency,
https://img.crackap.com/ap/eco/cr2017/00190.jpg,"In order for a firm to successfully carry out price discrimination, which of the following conditions must hold?","I, III, and V only",III and IV only,I and IV only,"II, III, and V only",II and V only,
https://img.crackap.com/ap/eco/cr2017/00092.jpg,Which of the following is characteristic of a perfectly competitive firm's demand curve?,average revenue is less than price at all levels of output,marginal revenue is equal to marginal cost at all levels of output,price and marginal revenue are equal at all levels of output,it is the same as the market demand curve,demand is inelastic at all levels of output,
https://img.crackap.com/ap/eco/cr2017/00092.jpg,The relationship between the marginal revenue curve and the demand curve for a monopoly is most similar to the relationship between the marginal factor cost curve and what curve for a monopsony?,Labor demand,Labor supply,Marginal external cost,Total cost,Marginal cost,
https://img.crackap.com/ap/eco/cr2017/00092.jpg,What could the government do to most effectively avoid a free rider problem?,Enact stricter antitrust legislation,Provide more complete information about the relevant goods,Supply public goods using tax dollars,Tax those creating negative externalities,Subsidize those creating positive externalities,
https://img.crackap.com/ap/eco/cr2017/00092.jpg,The necessity for a monopoly to lower its price in order to sell more units of its product explains why,monopolies are common among public utilities,the marginal revenue curve is below the demand curve for a monopoly,the marginal cost curve for a monopoly slopes upward,monopolies are able to maintain market power,monopolies differ from monopolistically competitive firms,
https://img.crackap.com/ap/eco/cr2017/00092.jpg,The market demand curve for labor will shift to the right when,the number of firms increases,the price of output decreases,the labor supply curve shifts to the right,the labor supply curve shifts to the left,the marginal product of labor decreases,
https://img.crackap.com/ap/eco/cr2017/00092.jpg,"Patents, control of resources, economies of scale, and exclusive licenses are",all requirements for price discrimination,required in order for a firm to earn short-run profits,all sources of elastic demand,all barriers to entry,all detriments to market power,
https://img.crackap.com/ap/eco/cr2017/00092.jpg,Which of the following statements is accurate in regard to a perfectly competitive firm?,Demand is downward-sloping.,The demand curve lies above the marginal revenue curve.,Price is determined by the equilibrium in the entire market.,Average revenue differs from price.,Marginal revenue differs from average revenue.,
https://img.crackap.com/ap/eco/cr2017/00092.jpg,Which of the following indicates that two goods are complements?,A positive income elasticity,A horizontal demand curve,A negative cross-price elasticity,A demand elasticity greater than one,A positive cross-price elasticity,
https://img.crackap.com/ap/eco/cr2017/00092.jpg,"Education makes Chris a better worker, voter, parent, and citizen. Because the benefits from education go beyond those that Chris enjoys himself, education provides",increasing marginal utility and should be subsidized,externalities and should be taxed,decreasing marginal utility and should be taxed,externalities and should be subsidized,an example of a good with inelastic supply,
https://img.crackap.com/ap/eco/cr2017/00092.jpg,"When a negative externality exists as the result of the production of a good, the socially optimal quantity of output could be achieved by",free market capitalism,placing limits on the quantity that can be produced,government purchases of the good,setting a minimum on the quantity that can be produced,subsidizing the good’s production,
https://img.crackap.com/ap/eco/cr2017/00092.jpg,The demand curve for labor is derived from,the market labor demand curve,the demand curve for the output produced by labor,the labor supply curve for the firm,the equilibrium wage in the labor market,the market labor supply curve,
https://img.crackap.com/ap/eco/br3/00301.jpg,Economics is a social science that,is primarily concerned with money.,is primarily concerned with how resources are used.,relies solely on the scientific method for analysis.,is primarily concerned with maximizing spiritual well-being.,is purely normative.,
https://img.crackap.com/ap/eco/br3/00301.jpg,Macroeconomics focuses on,government and its laws that affect commerce.,individuals and their resource use.,corporations and their production levels.,the resource use of the entire nation.,money.,
https://img.crackap.com/ap/eco/br3/00301.jpg,Given the table below what is the opportunity cost of wheat in France?,1/2 cloth.,1/2 wheat.,2 cloth.,2 wheat.,1/4 cloth.,
https://img.crackap.com/ap/eco/br3/00301.jpg,"Given the table below, which statement is true?",England has the absolute advantage in both products.,France should specialize in and export wheat while England should specialize in and export cloth.,France has the comparative advantage in cloth.,England has the comparative advantage in wheat.,France has the absolute advantage in wheat while England has the absolute advantage in cloth.,
https://img.crackap.com/ap/eco/br3/00301.jpg,Which of the following statements is positive?,An economy that produces more butter than guns is better off than an economy that produces more guns than butter.,Nations should concentrate their resources on producing wholesome consumer goods as opposed to the weapons of war.,The production possibilities frontier is concave to the origin because of the law of increasing costs.,Nations ought to devote at least some of their resources to national defense.,Nations would do better by producing toward the middle of their production possibilities frontiers as opposed to the extreme points near the axes.,
https://img.crackap.com/ap/eco/br3/00301.jpg,The primary focus of microeconomics is,families and how they make money.,firms and how they make profits.,individual units within the overall economy.,government.,small countries.,
https://img.crackap.com/ap/eco/br3/00301.jpg,"Economists use the term ""capital"" to mean",money.,plant and equipment.,where the central government is located.,the center of the economy.,a major idea.,
https://img.crackap.com/ap/eco/br3/00301.jpg,What you give up to pursue another alternative is known as,capital.,land.,money cost.,the price of the product.,opportunity cost.,
https://img.crackap.com/ap/eco/br3/00301.jpg,"Given the following table,(combinations that can be produced using resources fully and efficiently)",10/7 oranges.,7/10 oranges.,10/7 apples.,7/1o apples.,70 percent.,
https://img.crackap.com/ap/eco/br3/00301.jpg,"Given the following table,(combinations that can be produced using resources fully and efficiently)",5 nuts.,5 soup.,20 percent.,500 percent.,constant.,
https://img.crackap.com/ap/eco/br3/00301.jpg,Production possibilities frontiers are concave to the origin because,of inefficiencies in the economy.,of opportunity cost.,of the law of increasing costs.,of constant opportunity costs.,the extreme points are not as well established.,
https://img.crackap.com/ap/eco/br3/00301.jpg,"When opportunity cost is constant across all production levels, the productions possibilities frontier is",concave to the origin.,convex to the origin.,undefined.,shifted.,a straight diagonal line sloping downward from left to right.,
https://img.crackap.com/ap/eco/br3/00301.jpg,"When an economy produces a combination of goods that lies on the production possibilities frontier,",resources are being used fully and efficiently.,prices are constant.,opportunity cost is constant.,(L)) resources will never be depleted.,prices will rise.,
https://img.crackap.com/ap/eco/br3/00301.jpg,The law of increasing costs,does not apply to guns and butter.,is the result of resources not being perfectly adaptable between the production of two goods.,implies that prices will rise when the costs of making a good rise.,causes the production possibilities frontier to be a straight line.,implies that opportunity costs will rise as production levels fall.,
,A price ceiling is characterized by,a price set below the current (or equilibrium) market price of the good.,a price set above the current (or equilibrium) market price of the good.,a shift of the demand curve (function).,a shift of the supply curve.,None of the above.,
,For which of the following statements are both the price change and quantity change determinable (for a particular good)?,Both the supply of and the demand for the good decrease.,Both the supply of and the demand for the good increase.,The supply increases and the demand for the good decreases.,The supply decreases and the demand increases.,None of the above.,
,"If the government subsidizes the production of halogen headlights,",the demand curve will shift to the left.,the demand curve will shift to the right.,the supply curve will shift to the left.,the supply curve will shift to the right.,the amounts demanded will increase along the demand curve.,
,"If consumers are advised that multigrained bread will substantially lessen the risk of cancer, which of the following will happen in the market for multigrained bread?","The demand curve will shift to the left, decreasing the price of multigrained bread.","The supply curve will shift to the left, increasing the price of multigrained bread.","The demand curve will shift to the right, increasing the price of multigrained bread.","The supply curve will shift to the right, decreasing the price of multigrained bread.",None of the above.,
,"When price elasticity of demand is greater than 1, demand is",perfectly inelastic.,elastic.,inelastic.,unit elastic.,not measurable.,
,Price times quantity measures,the international trade gap.,the budget deficit.,total revenue.,price elasticity of demand.,price elasticity of supply.,
,A positive sign on cross price elasticity of demand indicates that the two products are,luxuries.,necessities.,substitutes.,complements.,independent.,
,The price elasticity of demand for a product is greater if,the proportion of the good of the consumer's budget is high.,the period of time to respond to a price change is short.,the number of substitute products is limited.,the product is a necessity.,imports decrease.,
,A tax imposed on a supplier will more likely be passed on to the consumer in the form of price increase if,price elasticity of demand is highly elastic.,price elasticity of demand is highly inelastic.,price elasticity of demand is unit elastic.,wage elasticity of demand is highly elastic.,wage elasticity of demand is highly inelastic.,
,"If the price of a product decreases with the price of a substitute product remaining constant such that the consumer buys more of this product, this is called the",income effect.,substitution effect.,marginal effect.,supply effect.,CPI effect.,
,"If the price of a product decreases so that the consumer can buy more of it and other products, this is called the",income effect.,substitution effect.,marginal effect.,supply effect.,CPI effect.,
,The utility-maximizing rule is to choose the basket of goods that,has the highest marginal utility of each good in the basket.,has the lowest prices for the goods.,has the highest value of marginal utility to price for each good.,the marginal utility to price ratio equal for all goods in the basket.,the marginal utility to price ratio equal for all goods in the basket subject to the income constraint.,
,"According to the principle of diminishing marginal utility,",marginal utility stays the same.,total utility stays the same.,marginal utility decreases with each additional unit of a good that is consumed.,marginal utility and total utility both decrease.,total utility declines.,
,Which of the following is true about the pure public good?,The marginal cost of providing an additional unit of the good to additional citizens is greater than zero.,Consumers can be excluded from its benefits by not paying for it.,One more unit of a public good for some consumers means one less unit for other consumers.,The good cannot be divided into discrete units.,It has a pure moral nature.,
,"If there is a negative externality associated with the production of a private good, which of the following is an action by government that would most likely move the market to an efficient outcome?",Close the firm producing the good.,Subsidize the firm or its customers.,Tax the firm.,Appoint a commission.,Relocate the firm.,
,"If there is a positive externality associated with the production of a private good, which of the following is an action of government that would most likely move the market to an efficient outcome?",Close the firm producing the good.,Subsidize the firm or its customers.,Tax the firm.,Appoint a commission.,Relocate the firm.,
,"For a polluting steel company, a government action to most likely achieve an optimal or efficient outcome would produce what effect on the market equilibrium price and output?",Output would increase; no change in price.,Output would increase; price would decrease.,Output would increase; price would increase.,Output would decrease; price would decrease.,"Output would decrease, price would increase.",
,Which of the following is true?,Marginal Social Costs = Private Marginal Costs + Negative Externality.,Marginal Social Costs = Private Marginal Costs + Subsidy.,Marginal Social Benefits = Private Marginal Benefits + Tax.,Tax = Positive Externality.,Subsidy = Negative Externality.,
,Which of the following is true?,TC = (AVC + AFC)Q.,TFC = TC at all levels of output.,AVC + AFC = TC.,MC = TC - TFC.,ATC = AVC + MC.,
,"Opportunity costs or implicit costs of a ""Mom & Pop""-owned business are:",equal to accounting costs.,equal to accounting profits.,equal to earnings or profits that could have occurred using resources elsewhere.,equal to earnings or profits that occurred for Mom & Pop's business.,equal to earnings or profits of other Mom & Pop businesses.,
,"With capital fixed at one unit with 1, 2, 3 units of labor added in equal successive units, production of the output increases from 300 (1 unit of labor), to 350 (2 units of labor) to 375 (3 units of labor). Which of the following is a correct interpretation?",This is long run increasing returns to scale.,This is long run decreasing returns to scale.,This is long run constant returns to scale.,This is short run diminishing marginal productivity.,This is short run increasing marginal productivity.,
,Which of the following is not correct about economies of scale?,Economies of scale are associated with increases in production of output.,Economies of scale are associated with the rising or increasing portion of an average total cost (ATC) curve.,Economies of scale are associated with the declining or decreasing portions of the ATC curve.,Economies of scale result in decreases in per unit average cost.,Economies of scale may be associated with the ability to use more specialists in business.,
,Marginal cost (MC) is equal to average variable cost (AVC) and average total cost (ATC) when:,marginal cost (MC) intersects AVC and ATC at their maximum points.,AVC and ATC intersect MC at its maximum point.,MC intersects AVC and ATC at their minimum points.,AVC and ATC intersect MC at its minimum point.,the economy is in the recovery phase of the business cycle.,
